Name,Slot,Weight,Special,DLC,Physical,Strike,Slash,Pierce,Magic,Fire,Lightning,Holy,Immunity,Robustness,Focus,Vitality,Poise,Power
Preceptor's Long Gown,Chest,6.3,,0.0,29.9,33.17,30.96,30.96,94.16,67.17,85.91,88.28,49.02,24.24,77.57,70.37,12.0,4608.41
Prisoner Clothing,Chest,3.2,,0.0,20.59,26.24,26.9,21.32,77.27,57.58,76.51,86.9,41.18,23.23,58.88,58.33,5.0,3823.6
Prophet Robe,Chest,6.3,,0.0,32.84,33.17,30.96,34.01,87.66,63.64,87.25,89.66,45.1,25.25,77.57,83.33,12.0,4632.57
Queen's Robe,Chest,5.1,,0.0,29.9,26.24,26.9,21.32,89.61,63.64,85.91,91.72,41.18,25.25,66.36,76.85,8.0,4368.52
Radahn's Lion Armor,Chest,17.5,,0.0,91.67,74.26,92.89,88.83,87.66,71.21,84.56,93.1,58.82,100.0,39.25,35.19,34.0,7852.47
Raging Wolf Armor,Chest,10.1,,0.0,64.71,57.43,67.01,63.96,64.29,56.06,45.64,63.45,30.39,55.56,15.89,15.74,21.0,5454.66
Raya Lucarian Robe,Chest,4.1,,0.0,25.98,30.2,30.96,13.71,87.66,63.64,83.22,88.28,41.18,18.18,62.62,58.33,7.0,4144.11
Rotten Gravekeeper Cloak,Chest,6.3,Increases likelihood of being targeted by foes,0.0,32.84,33.17,34.01,34.01,57.14,44.44,73.15,60.69,74.51,32.32,39.25,38.89,12.0,3931.32
Ruler's Robe,Chest,5.1,,0.0,25.98,33.17,34.01,21.32,84.42,62.63,85.91,91.72,45.1,24.24,71.03,70.37,10.0,4313.7
Sage Robe,Chest,5.1,,0.0,32.84,30.2,30.96,21.32,87.66,63.64,87.25,93.1,37.25,23.23,66.36,70.37,8.0,4471.53
Sanguine Noble Robe,Chest,5.1,,0.0,29.9,26.24,26.9,26.9,86.36,60.1,87.25,93.1,49.02,21.21,77.57,70.37,10.0,4365.63
Scale Armor,Chest,8.8,,0.0,58.33,50.5,62.94,55.33,46.1,55.05,44.97,55.17,24.51,46.46,10.28,19.44,18.0,4808.35
Scaled Armor,Chest,16.0,,0.0,78.43,68.81,85.28,81.22,87.66,71.21,87.25,93.1,55.88,83.84,35.51,35.19,33.0,7254.41
Snow Witch Robe,Chest,5.5,,0.0,27.94,32.18,32.99,23.35,87.01,67.68,88.59,92.41,37.25,32.32,66.36,65.74,8.0,4476.1
Traveling Maiden Robe,Chest,4.9,,0.0,26.47,30.69,31.47,21.83,87.01,65.15,87.92,92.41,45.1,24.24,71.03,76.85,10.0,4365.36
Twinned Armor,Chest,13.7,,0.0,71.57,66.34,81.22,68.53,80.52,62.63,68.46,78.62,37.25,60.61,22.43,55.56,25.0,6385.86
Upper-Class Robe,Chest,4.1,,0.0,20.59,30.2,30.96,13.71,83.12,60.1,84.56,89.66,37.25,21.21,57.01,56.48,8.0,3938.46
Vagabond Knight Armor,Chest,10.6,,0.0,66.18,56.44,62.94,60.41,66.23,55.05,59.06,60.69,34.31,57.58,21.5,21.3,22.0,5520.2
Veteran's Armor,Chest,18.9,,0.0,91.67,84.16,94.92,88.83,87.66,71.21,85.91,91.72,61.76,90.91,42.99,42.59,38.0,7908.39
White Reed Armor,Chest,8.3,,0.0,46.57,50.5,57.87,44.67,70.78,55.05,79.87,70.34,65.69,42.42,51.4,46.3,17.0,5076.59
Zamor Armor,Chest,8.8,,0.0,58.33,47.03,62.94,55.33,57.14,44.44,40.94,55.17,20.59,63.64,10.28,16.67,18.0,4853.29
Marionette Soldier Armor,Chest,8.8,,0.0,58.33,43.56,68.53,44.67,57.14,44.44,44.97,60.69,23.53,50.51,19.63,16.67,18.0,4777.56
Alberich's Robe (Altered),Chest,3.2,,0.0,20.59,13.37,21.32,21.32,81.82,57.58,79.87,86.9,31.37,19.19,53.27,56.48,5.0,3682.75
All-Knowing Armor (Altered),Chest,9.3,,0.0,60.78,53.96,65.48,57.87,74.03,44.44,63.76,55.17,21.57,38.38,14.95,14.81,21.0,5147.72
Aristocrat Garb (Altered),Chest,4.1,,0.0,34.8,39.6,36.04,36.04,39.61,33.84,47.65,42.07,41.18,29.29,29.91,23.15,10.0,3381.78
Astrologer Robe (Altered),Chest,5.3,,0.0,29.9,26.24,26.9,26.9,86.36,64.65,87.25,88.28,41.18,21.21,70.09,59.26,10.0,4335.28
Banished Knight Armor (Altered),Chest,16.5,,0.0,89.71,71.29,94.92,85.28,86.36,67.17,85.91,89.66,50.98,69.7,29.91,31.48,33.0,7474.46
Battlemage Robe,Chest,4.1,,0.0,25.98,30.2,21.32,26.9,84.42,60.1,83.22,86.9,41.18,23.23,58.88,65.74,10.0,4138.66
Beast Champion Armor (Altered),Chest,16.4,,0.0,84.31,78.71,93.91,92.39,83.77,69.19,85.23,92.41,49.02,75.76,31.78,29.63,34.0,7483.88
Black Knife Armor (Altered),Chest,9.0,,0.0,55.39,53.47,62.44,62.44,56.49,47.47,44.3,77.93,24.51,42.42,19.63,19.44,19.0,4978.23
Blaidd's Armor,Chest,13.7,,0.0,71.57,63.86,74.11,77.66,74.03,63.64,68.46,82.07,37.25,76.77,23.36,23.15,28.0,6424.12
Blaidd's Armor (Altered),Chest,12.5,,0.0,68.63,61.39,71.07,74.11,70.78,62.63,63.76,78.62,31.37,57.58,20.56,19.44,27.0,6048.7
Bloodhound Knight Armor (Altered),Chest,9.6,,0.0,59.31,54.95,69.54,67.01,59.74,50.0,45.64,68.28,28.43,45.45,19.63,19.44,19.0,5205.14
Bloodsoaked Tabard,Chest,8.3,,0.0,46.57,47.03,51.78,48.22,70.78,55.05,83.22,78.62,61.76,38.38,51.4,46.3,18.0,5073.28
Blue Festive Garb,Chest,4.1,,0.0,20.59,20.79,30.96,26.9,81.82,57.58,84.56,95.17,45.1,21.21,66.36,58.33,7.0,4003.82
Blue Silver Mail Armor (Altered),Chest,8.5,,0.0,59.31,44.55,63.96,56.35,67.53,48.99,48.99,50.34,20.59,52.53,9.35,9.26,17.0,4955.07
Brave's Battlewear,Chest,4.1,,0.0,25.98,26.24,26.9,21.32,83.12,62.63,84.56,88.28,41.18,23.23,62.62,62.04,8.0,4130.1
Briar Armor (Altered),Chest,10.7,,0.0,60.78,53.96,62.94,60.41,66.23,57.58,47.65,65.52,28.43,61.62,19.63,19.44,19.0,5364.89
Carian Knight Armor (Altered),Chest,9.7,,0.0,57.35,48.51,61.93,59.39,75.97,59.09,61.07,80.69,21.57,38.38,14.95,17.59,18.0,5336.12
Cleanrot Armor (Altered),Chest,13.7,,0.0,66.18,61.39,74.11,81.22,77.27,62.63,68.46,89.66,50.98,54.55,20.56,20.37,24.0,6270.42
Commoner's Garb (Altered),Chest,4.1,+1 Faith,0.0,20.59,30.2,30.96,26.9,81.82,60.1,83.22,86.9,33.33,21.21,57.01,59.26,7.0,3995.98
Commoner's Simple Garb (Altered),Chest,4.1,+1 Faith,0.0,15.69,30.2,30.96,26.9,83.12,62.63,83.22,86.9,37.25,21.21,57.01,59.26,7.0,3918.64
Confessor Armor (Altered),Chest,7.3,,0.0,37.25,48.51,38.58,42.64,68.18,53.03,77.18,62.76,52.94,42.42,39.25,41.67,15.0,4499.34
Consort's Robe,Chest,4.1,,0.0,25.98,20.79,21.32,26.9,84.42,62.63,83.22,88.28,45.1,25.25,62.62,58.33,7.0,4118.55
Corhyn's Robe,Chest,6.3,,0.0,29.9,33.17,34.01,30.96,86.36,64.65,85.91,93.1,45.1,24.24,100.0,70.37,10.0,4570.97
Crucible Axe Armor (Altered),Chest,14.9,Strengthens Aspects of the Crucible incantations,0.0,82.35,66.34,81.22,81.22,83.12,63.64,73.15,91.72,41.18,61.62,27.1,26.85,31.0,6912.72
Crucible Tree Armor (Altered),Chest,14.9,Strengthens Aspects of the Crucible incantations,0.0,83.33,66.34,81.22,79.19,83.12,57.58,73.15,97.24,41.18,61.62,27.1,26.85,31.0,6900.0
Cuckoo Knight Armor,Chest,11.8,,0.0,66.18,56.44,74.11,68.53,80.52,60.1,59.06,70.34,31.37,57.58,22.43,22.22,24.0,5917.33
Cuckoo Knight Armor (Altered),Chest,10.8,,0.0,64.22,54.46,72.08,66.5,77.92,58.08,56.38,67.59,28.43,52.53,19.63,19.44,24.0,5696.53
Depraved Perfumer Robe (Altered),Chest,4.0,,0.0,25.98,25.74,20.81,13.2,84.42,63.64,83.22,86.9,61.76,18.18,44.86,58.33,7.0,4035.22
Dirty Chainmail,Chest,8.8,,0.0,55.88,43.56,60.41,57.87,51.95,44.44,40.94,55.17,24.51,50.51,19.63,19.44,18.0,4657.64
Drake Knight Armor,Chest,9.2,,0.0,55.88,47.03,60.41,57.87,66.23,57.58,59.06,70.34,24.51,46.46,19.63,19.44,19.0,5132.09
Drake Knight Armor (Altered),Chest,8.3,,0.0,54.9,42.57,56.85,54.31,51.95,47.98,44.97,55.17,20.59,34.34,9.35,9.26,16.0,4497.15
Elden Lord Armor (Altered),Chest,8.4,,0.0,54.41,49.01,53.81,58.88,50.0,53.54,42.95,46.9,21.57,45.45,9.35,14.81,17.0,4594.47
Errant Sorcerer Robe (Altered),Chest,3.2,,0.0,13.24,13.37,26.9,13.71,83.12,62.63,79.87,88.28,30.39,20.2,57.94,61.11,7.0,3555.41
Festive Garb,Chest,4.1,,0.0,20.59,26.24,30.96,26.9,81.82,60.1,83.22,89.66,41.18,21.21,62.62,62.04,7.0,4015.56
Festive Garb (Altered),Chest,3.2,,0.0,13.24,20.79,26.9,21.32,80.52,57.58,79.87,88.28,33.33,16.16,53.27,52.78,7.0,3570.73
Finger Maiden Robe (Altered),Chest,3.7,,0.0,20.59,13.37,13.71,3.05,84.42,62.63,84.56,93.1,31.37,16.16,50.47,50.0,8.0,3599.21
Fingerprint Armor,Chest,10.6,,0.0,66.18,58.91,60.41,60.41,61.69,63.64,44.97,65.52,31.37,60.61,10.28,21.3,24.0,5524.25
Fingerprint Armor (Altered),Chest,10.0,,0.0,64.22,56.93,58.38,58.38,59.09,61.62,42.28,62.76,28.43,54.55,9.35,19.44,24.0,5300.06
Fire Prelate Armor,Chest,24.7,,0.0,94.12,84.16,92.89,92.89,87.66,100.0,87.25,91.72,65.69,63.64,84.11,46.3,45.0,8177.96
Fire Prelate Armor (Altered),Chest,23.6,,0.0,91.67,80.69,88.83,88.83,86.36,92.42,85.91,89.66,55.88,54.55,70.09,38.89,43.0,7810.28
Foot Soldier Tabard,Chest,8.3,,0.0,46.57,47.03,51.78,51.78,74.03,57.58,76.51,70.34,61.76,42.42,51.4,50.93,17.0,5096.92
Gelmir Knight Armor (Altered),Chest,10.8,,0.0,64.22,54.46,69.04,66.5,68.18,60.61,65.77,72.41,31.37,50.51,19.63,19.44,24.0,5680.54
Godrick Knight Armor (Altered),Chest,10.8,,0.0,64.22,56.93,69.04,63.45,68.18,58.08,61.07,72.41,31.37,52.53,19.63,19.44,24.0,5639.22
Godskin Noble Robe,Chest,6.3,Strengthens the Noble Presence incantation,0.0,29.9,47.03,34.01,30.96,84.42,62.63,84.56,97.24,45.1,25.25,71.03,76.85,12.0,4648.05
Goldmask's Rags,Chest,2.4,,0.0,20.59,13.37,13.71,3.05,77.27,57.58,79.87,88.28,37.25,11.11,56.07,55.56,5.0,3418.52
Gravekeeper Cloak,Chest,6.3,,0.0,34.8,43.56,36.04,36.04,51.95,47.98,68.46,60.69,61.76,25.25,39.25,38.89,12.0,3975.23
Gravekeeper Cloak (Altered),Chest,5.1,,0.0,32.84,39.6,34.01,34.01,46.1,44.44,63.76,55.17,52.94,22.22,31.78,31.48,8.0,3646.58
Guardian Garb,Chest,7.7,,0.0,46.57,47.03,44.67,40.61,70.78,51.52,73.15,75.17,59.8,38.38,46.73,38.89,15.0,4834.87
Guardian Garb (Full Bloom),Chest,8.8,"Increases healing from Flask of Crimson Tears, Lowers fire negation",0.0,50.0,50.5,48.22,48.22,77.27,-11.62,79.87,78.62,69.61,46.46,53.27,50.93,15.0,4625.28
Haligtree Knight Armor,Chest,11.8,,0.0,66.18,61.39,68.53,68.53,66.23,57.58,63.76,78.62,34.31,57.58,22.43,23.15,22.0,5840.98
Haligtree Knight Armor (Altered),Chest,10.8,,0.0,64.22,59.41,66.5,66.5,63.64,55.56,61.07,75.86,31.37,52.53,19.63,20.37,22.0,5620.16
High Page Clothes,Chest,5.3,,0.0,26.96,34.16,27.92,27.92,87.66,64.65,87.25,91.03,41.18,23.23,71.03,70.37,10.0,4393.92
High Page Clothes (Altered),Chest,4.3,,0.0,21.57,31.19,22.34,22.34,85.71,63.64,85.91,89.66,33.33,19.19,57.01,56.48,8.0,4024.73
Hoslow's Armor (Altered),Chest,10.8,,0.0,66.67,56.93,63.45,60.91,66.88,55.56,59.73,61.38,31.37,52.53,19.63,19.44,21.0,5521.36
Ivory-Draped Tabard,Chest,8.3,,0.0,46.57,53.96,44.67,51.78,66.23,55.05,79.87,78.62,61.76,42.42,51.4,52.78,16.0,5075.9
Land of Reeds Armor (Altered),Chest,7.8,,0.0,39.22,43.56,57.87,44.67,61.69,55.05,76.51,70.34,50.98,42.42,39.25,41.67,15.0,4661.36
Lazuli Robe,Chest,4.1,,0.0,29.9,26.24,21.32,13.71,89.61,60.1,83.22,88.28,41.18,21.21,62.62,62.04,8.0,4152.86
Leather Armor,Chest,7.1,,0.0,39.22,47.03,40.61,44.67,61.69,47.98,68.46,70.34,58.82,35.35,39.25,46.3,12.0,4443.08
Leyndell Knight Armor,Chest,11.8,,0.0,66.18,61.39,68.53,68.53,66.23,57.58,76.51,70.34,34.31,55.56,22.43,22.22,24.0,5833.72
Leyndell Knight Armor (Altered),Chest,10.8,,0.0,64.22,59.41,66.5,66.5,63.64,55.56,73.83,67.59,31.37,50.51,19.63,19.44,24.0,5613.02
Lionel's Armor (Altered),Chest,20.2,,0.0,83.82,78.71,95.43,97.97,85.06,73.23,84.56,90.34,55.88,90.91,35.51,41.67,38.0,7689.13
Lord of Blood's Robe (Altered),Chest,7.3,,0.0,43.63,47.52,41.12,41.12,62.34,60.61,80.54,92.41,55.88,19.19,43.93,43.52,16.0,4780.64
Lusat's Robe,Chest,7.1,,0.0,39.22,30.2,40.61,30.96,100.0,64.65,89.26,93.1,49.02,25.25,77.57,91.67,12.0,5005.57
Malenia's Armor,Chest,7.7,,0.0,53.43,35.15,57.87,48.22,39.61,35.86,28.19,48.97,37.25,32.32,10.28,10.19,16.0,4025.81
Malenia's Armor (Altered),Chest,6.8,,0.0,49.02,32.18,54.31,43.65,33.12,32.83,16.78,44.83,28.43,25.25,0.0,0.0,13.0,3555.33
Maliketh's Armor (Altered),Chest,11.8,,0.0,63.24,56.44,68.53,62.94,66.23,55.05,59.06,86.9,28.43,50.51,19.63,38.89,22.0,5642.26
Mausoleum Knight Armor,Chest,11.8,,0.0,66.18,56.44,74.11,65.48,70.78,57.58,68.46,78.62,34.31,55.56,22.43,21.3,25.0,5871.07
Mausoleum Knight Armor (Altered),Chest,10.8,,0.0,64.22,54.46,72.08,63.45,68.18,55.56,65.77,75.86,31.37,50.51,19.63,19.44,25.0,5651.07
Mausoleum Surcoat,Chest,10.6,,0.0,63.24,53.96,68.53,62.94,66.23,51.52,59.06,70.34,31.37,50.51,21.5,19.44,24.0,5462.44
Night Maiden Armor,Chest,8.3,,0.0,39.22,47.03,40.61,51.78,80.52,57.58,79.87,85.52,61.76,38.38,51.4,50.93,16.0,4991.35
Night's Cavalry Armor,Chest,12.8,,0.0,68.63,63.86,71.07,68.53,70.78,63.64,73.15,86.9,37.25,57.58,22.43,22.22,25.0,6161.12
Night's Cavalry Armor (Altered),Chest,11.8,,0.0,66.18,61.39,68.53,62.94,66.23,62.63,68.46,85.52,31.37,50.51,19.63,19.44,24.0,5860.81
Nomadic Merchant's Finery,Chest,7.2,,0.0,39.22,43.56,36.04,34.01,61.69,47.98,63.76,60.69,55.88,32.32,66.36,42.59,13.0,4203.4
Nomadic Merchant's Finery (Altered),Chest,6.1,,0.0,34.31,39.11,33.5,30.46,56.49,43.94,58.39,54.48,49.02,25.25,57.01,35.19,12.0,3751.49
Nox Monk Armor,Chest,8.1,,0.0,45.59,49.5,47.21,43.65,79.22,59.09,78.52,68.97,61.76,42.42,46.73,46.3,16.0,5052.33
Nox Monk Armor (Altered),Chest,7.4,,0.0,42.16,46.04,43.65,39.59,75.97,56.57,75.17,64.14,52.94,34.34,39.25,38.89,15.0,4679.98
Nox Swordstress Armor,Chest,8.3,,0.0,43.14,50.5,44.67,48.22,81.82,55.05,83.22,78.62,58.82,38.38,51.4,50.93,17.0,5068.3
Nox Swordstress Armor (Altered),Chest,7.5,,0.0,39.22,47.03,40.61,44.67,80.52,51.52,79.87,75.17,54.9,34.34,45.79,45.37,16.0,4745.43
Official's Attire,Chest,4.1,,0.0,20.59,20.79,21.32,26.9,83.12,60.1,83.22,88.28,37.25,22.22,57.01,59.26,8.0,3893.7
Omen Armor,Chest,23.1,Increases damage of Omen Bairn and Regal Omen Bairn,0.0,89.71,74.26,94.92,94.92,84.42,73.23,100.0,95.17,65.69,63.64,53.27,70.37,43.0,7795.58
Page Garb,Chest,5.1,,0.0,32.84,30.2,26.9,26.9,83.12,63.64,87.25,89.66,41.18,23.23,77.57,76.85,10.0,4447.75
Page Garb (Altered),Chest,4.5,,0.0,30.88,27.23,22.34,22.34,83.12,63.64,87.25,89.66,33.33,19.19,59.81,59.26,8.0,4221.49
Perfumer Robe,Chest,5.1,,0.0,25.98,33.17,30.96,26.9,84.42,62.63,84.56,89.66,61.76,21.21,66.36,70.37,10.0,4342.95
Perfumer Robe (Altered),Chest,4.1,,0.0,20.59,30.2,26.9,21.32,83.12,60.1,83.22,88.28,52.94,18.18,53.27,62.04,8.0,3985.27
Perfumer's Traveling Garb (Altered),Chest,4.1,,0.0,25.98,26.24,21.32,13.71,83.12,64.65,83.22,88.28,53.92,21.21,62.62,58.33,8.0,4066.05
Preceptor's Long Gown (Altered),Chest,3.2,,0.0,20.59,20.79,13.71,21.32,83.12,62.63,79.87,85.52,37.25,16.16,53.27,52.78,7.0,3738.44
Prophet Robe (Altered),Chest,5.1,,0.0,29.9,30.2,26.9,30.96,86.36,62.63,85.91,88.28,37.25,22.22,64.49,69.44,10.0,4371.39
Radahn's Lion Armor (Altered),Chest,16.4,,0.0,90.69,72.28,89.85,86.29,86.36,70.71,83.22,91.72,50.98,82.83,31.78,29.63,33.0,7595.62
Raging Wolf Armor (Altered),Chest,9.0,,0.0,62.75,53.47,64.97,62.44,56.49,54.55,44.3,60.0,24.51,50.51,9.35,9.26,19.0,5160.67
Raptor's Black Feathers,Chest,7.7,Increases damage of jumping attacks,0.0,39.22,43.56,48.22,48.22,66.23,51.52,73.15,65.52,55.88,35.35,56.07,55.56,15.0,4584.76
Redmane Knight Armor,Chest,11.8,,0.0,66.18,56.44,68.53,62.94,70.78,64.65,63.76,75.17,34.31,55.56,13.08,23.15,24.0,5827.24
Redmane Knight Armor (Altered),Chest,10.8,,0.0,64.22,54.46,66.5,60.91,68.18,62.63,61.07,72.41,31.37,50.51,22.43,20.37,24.0,5618.47
Redmane Surcoat,Chest,10.6,,0.0,66.18,53.96,62.94,60.41,66.23,57.58,53.69,65.52,31.37,50.51,21.5,22.22,22.0,5482.3
Ronin's Armor,Chest,8.5,,0.0,51.47,51.98,56.85,53.3,77.27,62.63,89.93,82.07,64.71,48.48,48.6,52.78,16.0,5587.94
Ronin's Armor (Altered),Chest,7.6,,0.0,43.14,43.56,48.22,44.67,66.23,55.05,79.87,70.34,52.94,38.38,39.25,41.67,15.0,4739.57
Rotten Gravekeeper Cloak (Altered),Chest,5.1,,0.0,29.9,30.2,30.96,30.96,51.95,40.4,68.46,55.17,62.75,25.25,31.78,31.48,8.0,3538.4
Royal Knight Armor,Chest,15.5,,0.0,78.43,71.29,88.83,85.28,91.56,67.17,83.22,89.66,49.02,67.68,32.71,32.41,24.0,7162.83
Royal Knight Armor (Altered),Chest,15.0,,0.0,77.45,70.3,87.82,84.26,90.26,66.16,81.88,88.28,44.12,61.62,29.91,29.63,28.0,7018.1
Royal Remains Armor,Chest,10.6,Slowly replenishes HP when HP is reduced,0.0,58.33,56.44,65.48,60.41,61.69,51.52,53.69,60.69,34.31,57.58,22.43,10.19,21.0,5216.15
Scaled Armor (Altered),Chest,15.0,,0.0,75.0,66.34,81.22,77.66,83.12,67.17,83.22,88.28,44.12,64.65,27.1,26.85,30.0,6781.71
Scarlet Tabard,Chest,8.3,,0.0,50.0,47.03,44.67,44.67,70.78,60.1,79.87,75.17,61.76,42.42,51.4,50.93,17.0,5122.76
Shaman Furs,Chest,5.1,,0.0,25.98,30.2,26.9,40.61,51.95,35.86,53.69,46.21,61.76,42.42,51.4,32.41,10.0,3423.89
Snow Witch Robe (Altered),Chest,4.6,,0.0,22.55,28.22,28.93,15.74,85.71,66.67,87.25,91.03,31.37,25.25,53.27,52.78,7.0,4089.41
Spellblade's Traveling Attire,Chest,3.3,Strengthens magic and cold weapon skills by 2%,0.0,20.1,12.87,20.81,20.81,82.47,57.07,79.19,87.59,34.31,17.17,55.14,58.33,7.0,3661.61
Spellblade's Traveling Attire (Altered),Chest,2.5,Strengthens magic and cold weapon skills by 2%,0.0,12.75,2.48,13.2,13.2,81.82,55.05,76.51,86.9,31.37,10.1,50.47,52.78,5.0,3166.85
Traveler's Clothes,Chest,4.1,,0.0,29.9,26.24,21.32,13.71,86.36,63.64,85.91,85.52,34.31,24.24,62.62,62.04,8.0,4147.46
Traveling Maiden Robe (Altered),Chest,4.3,,0.0,21.08,26.73,27.41,14.21,85.06,64.14,86.58,90.34,37.25,21.21,57.01,59.26,8.0,3980.03
Tree Sentinel Armor,Chest,18.9,,0.0,91.67,74.26,94.92,88.83,84.42,86.36,84.56,97.24,65.69,90.91,39.25,42.59,39.0,7988.23
Tree Sentinel Armor (Altered),Chest,18.1,,0.0,90.69,73.27,93.91,87.82,81.82,82.83,83.22,96.55,55.88,75.76,31.78,35.19,35.0,7731.65
Tree Surcoat,Chest,9.2,,0.0,63.24,43.56,65.48,60.41,57.14,55.05,47.65,60.69,24.51,55.56,19.63,16.67,21.0,5162.53
Twinned Armor (Altered),Chest,12.8,,0.0,68.63,63.86,77.66,65.48,77.27,60.1,63.76,75.17,31.37,52.53,19.63,48.15,24.0,6058.48
Vagabond Knight Armor (Altered),Chest,9.6,,0.0,64.71,51.98,61.93,59.39,59.09,53.03,55.7,57.24,28.43,50.51,17.76,17.59,21.0,5231.01
Veteran's Armor (Altered),Chest,17.2,,0.0,88.73,83.17,93.91,87.82,85.06,68.69,83.22,88.28,52.94,75.76,35.51,35.19,35.0,7587.91
Vulgar Militia Armor,Chest,7.7,,0.0,43.14,50.5,48.22,40.61,66.23,51.52,73.15,70.34,65.69,35.35,46.73,46.3,16.0,4725.89
War Surgeon Gown,Chest,6.9,,0.0,33.82,34.65,40.1,44.16,45.45,47.47,67.79,74.48,51.96,37.37,41.12,44.44,13.0,4045.67
War Surgeon Gown (Altered),Chest,6.1,,0.0,32.35,34.65,40.1,33.5,56.49,47.47,67.79,64.83,44.12,32.32,35.51,38.89,12.0,3900.04
Dryleaf Arm Wraps,Gauntlets,1.7,,1.0,6.37,7.92,5.08,5.08,22.73,14.65,20.81,24.14,12.75,8.08,23.36,22.22,2.0,1084.32
Gaius's Gauntlets,Gauntlets,6.7,,1.0,20.59,19.31,25.38,24.87,22.73,17.17,22.82,23.45,21.57,28.28,16.82,16.67,8.0,2011.57
Oathseeker Knight Gauntlets,Gauntlets,3.5,,1.0,15.69,13.86,15.74,14.72,17.53,12.63,11.41,17.24,10.78,19.19,7.48,7.41,4.0,1388.46
Verdigris Gauntlets,Gauntlets,8.6,,1.0,25.49,22.28,25.38,23.86,21.43,16.67,24.16,22.76,29.41,36.36,11.21,15.74,10.0,2203.98
Iron Rivet Gauntlets,Gauntlets,2.9,,1.0,13.73,10.4,14.21,13.71,14.94,11.62,12.75,14.48,7.84,19.19,3.74,3.7,4.0,1226.14
Thiollier's Gloves,Gauntlets,2.4,,1.0,10.29,10.4,8.63,8.63,12.34,11.62,18.12,17.24,23.53,9.09,19.63,12.04,3.0,1087.87
High Priest Gloves,Gauntlets,1.4,,1.0,6.37,7.43,5.08,3.05,20.78,15.66,20.81,21.38,13.73,8.08,19.63,23.15,2.0,1035.58
Braided Arm Wraps,Gauntlets,0.8,,1.0,4.9,2.97,3.05,0.51,20.13,12.63,18.79,22.07,11.76,5.05,31.78,17.59,1.0,867.58
Dancer's Bracer,Gauntlets,1.4,Enhances the power of dancing attacks by 2.5%.,1.0,6.37,4.95,8.12,5.08,20.78,16.16,20.81,21.38,13.73,8.08,19.63,20.37,1.0,1055.48
Gauntlets of Night,Gauntlets,2.4,,1.0,8.33,8.42,9.64,9.64,20.13,11.62,15.44,21.38,17.65,11.11,14.02,13.89,3.0,1120.42
Igon's Gauntlets,Gauntlets,2.8,,1.0,11.27,12.38,11.68,11.68,17.53,14.14,19.46,18.62,20.59,14.14,16.82,16.67,4.0,1291.7
Ansbach's Manchettes,Gauntlets,1.7,Slightly enhances Blood Oath and dynastic skills by 3%.,1.0,6.37,7.43,7.61,5.08,20.78,16.16,20.81,22.07,12.75,8.08,23.36,27.78,3.0,1084.78
Freyja's Gauntlets,Gauntlets,3.1,,1.0,16.18,11.39,14.21,14.21,13.64,11.62,12.75,15.86,7.84,20.2,3.74,7.41,4.0,1308.19
Gauntlets of Solitude,Gauntlets,8.0,,1.0,23.04,22.28,23.35,22.34,21.43,18.18,22.15,23.45,19.61,21.21,30.84,15.74,10.0,2023.12
Messmer Soldier Gauntlets,Gauntlets,2.9,,1.0,14.22,11.39,14.72,14.21,12.34,11.62,10.74,13.1,7.84,15.15,5.61,5.56,4.0,1188.15
Black Knight Gauntlets,Gauntlets,4.6,,1.0,17.65,15.35,18.27,20.3,20.13,16.16,18.12,19.31,13.73,22.22,7.48,7.41,6.0,1650.06
Rakshasa Gauntlets,Gauntlets,4.3,Boosts All Damage by 2%,1.0,6.37,4.95,8.12,7.11,5.84,6.06,5.37,6.21,11.76,20.2,8.41,8.33,6.0,681.48
Fire Knight Gauntlets,Gauntlets,3.1,,1.0,15.69,12.38,14.72,13.71,14.94,14.65,11.41,14.48,8.82,15.15,6.54,7.41,4.0,1305.32
Leather Arm Wraps,Gauntlets,2.4,,1.0,9.31,11.39,10.66,9.64,13.64,12.63,18.79,17.24,18.63,11.11,14.02,12.96,3.0,1111.78
Death Knight Gauntlets,Gauntlets,3.5,Enhances skills and incantations of the ancient dragon cult by 2%,1.0,15.2,13.37,15.74,15.74,14.94,11.62,20.81,13.1,8.82,15.15,5.61,13.89,5.0,1336.47
Ascetic's Wrist Guards,Gauntlets,1.1,,1.0,7.35,0.5,6.6,3.05,20.13,15.66,20.81,22.76,13.73,8.08,8.41,19.44,2.0,1004.49
Messmer's Gauntlets,Gauntlets,2.8,,1.0,11.27,11.39,10.66,13.71,16.23,15.66,19.46,17.24,19.61,14.14,17.76,18.52,3.0,1285.27
Gravebird Bracelets,Gauntlets,1.7,,1.0,7.84,8.42,8.63,7.61,13.64,9.6,15.44,15.86,16.67,8.08,12.15,11.11,3.0,934.86
Common Soldier Gauntlets,Gauntlets,2.9,,1.0,15.2,11.39,14.72,14.72,11.04,10.61,10.07,13.1,7.84,15.15,5.61,5.56,4.0,1191.26
Horned Warrior Gauntlets,Gauntlets,3.5,,1.0,16.18,15.35,16.24,14.21,16.23,12.63,14.09,14.48,10.78,20.2,5.61,7.41,5.0,1397.81
Divine Bird Warrior Gauntlets,Gauntlets,3.5,,1.0,16.18,15.35,15.74,14.72,17.53,12.63,12.75,14.48,11.76,18.18,6.54,7.41,5.0,1396.44
